3.924880,7.363412,7.073915,C
7.739460,6.453360,8.066205,E
6.379217,9.061654,9.002781,D
6.397573,7.974984,6.075531,A
5.764744,7.421517,6.282761,A
9.138295,8.675697,8.947702,B
4.811593,6.730988,6.469683,C
5.189073,6.582152,8.356661,C
5.012552,8.219790,8.390992,E
3.894978,8.661010,7.835112,C
7.119228,7.412406,7.547379,A
8.775777,8.302871,9.366378,B
7.238330,7.705394,7.265965,A
6.862501,7.904759,8.723841,D
6.922217,6.262191,8.446487,E
7.172598,6.400599,7.883062,E
7.064098,6.829678,8.458704,E
6.575801,7.847759,8.440810,E
5.227711,6.352835,7.023711,C
9.224716,9.655787,8.806038,B
5.022727,8.075476,7.923591,C
6.386305,8.088024,6.530040,A
8.572316,7.095323,7.903844,B
3.694250,6.911933,6.476613,C
6.788604,8.013268,8.332471,D
5.811891,5.639476,7.134148,C
9.711864,9.323920,8.104388,B
4.523509,8.130132,8.526008,C
9.291631,8.334110,8.436203,B
7.164367,6.651446,6.726860,A
8.338475,8.519083,10.831825,D
6.707531,8.273762,9.341167,D
8.114685,7.871035,7.008185,B
6.262680,5.971172,9.000956,E
7.805291,6.702795,10.837412,E
6.880110,7.718525,8.632241,E
5.088093,6.201052,9.897561,E
5.892325,8.080326,8.924892,E
7.124028,9.298755,8.564893,D
6.464966,7.007303,9.733155,E
4.717151,5.300510,8.145370,C
6.378744,7.865816,8.275368,E
6.732183,7.482915,9.704885,E
5.942471,7.544753,7.365640,A
5.597752,7.916052,5.240860,A
3.719285,6.551261,6.020708,C
4.072833,5.466635,5.323960,C
5.231603,7.049797,6.731713,A
8.517306,9.712670,11.042459,D
6.385908,5.751287,7.362504,A
8.074658,9.915629,8.075873,D
6.467492,6.618940,6.071086,A
8.957751,9.590223,7.904623,B
8.955154,8.148002,7.253174,B
7.377652,8.092719,7.451595,A
6.262160,10.280922,8.402313,D
6.280213,6.927824,7.908138,E
6.285247,6.891320,6.792114,A
9.037081,7.524138,9.879971,B
6.951264,6.318506,9.655461,E
6.893081,8.131498,8.997756,D
8.343010,6.023414,10.560145,E
3.914550,6.625662,8.454741,C
7.548905,8.683681,8.457660,D
6.577542,7.637097,6.688779,A
6.321644,5.963100,7.690253,E
5.339843,6.861366,8.736392,E
6.331019,7.632886,8.539717,E
3.221518,5.589810,7.118744,C
4.930584,8.302911,8.212170,C
7.842698,8.109387,9.299391,D
5.180164,6.529402,5.698506,A
7.253338,7.209704,6.830868,A
7.325693,6.719657,7.952318,E
9.249934,9.689550,8.391223,B
7.902283,10.548134,7.144325,D
5.778771,7.130872,7.865512,E
7.118312,7.883151,10.855589,D
8.964753,8.142877,8.061385,B
7.513667,7.626582,8.190157,D
6.876879,7.411881,7.355798,A
5.580257,7.338586,6.911875,A
10.050179,8.990781,8.356989,B
8.295831,7.880854,10.772713,D
6.505904,7.824802,6.966341,A
3.743357,7.024255,5.530484,C
5.667361,7.090658,6.939987,A
8.678167,8.700833,6.682321,B
7.573477,8.576643,8.131396,D
6.708897,8.305789,7.248754,A
4.367493,6.683805,7.153830,C
7.764412,7.297056,7.964518,B
5.854429,5.195121,8.534871,E
7.614570,8.925065,7.594565,D
6.237621,7.763151,8.115228,E
5.101550,7.435513,7.487279,C
8.715843,7.439207,7.639036,B
6.027383,7.957378,8.992776,E
6.938456,6.629793,8.289644,E
5.635408,6.685349,5.355445,A
6.161317,8.865659,8.368308,D
3.197430,6.607293,8.785591,C
7.876041,8.595839,8.578304,D
4.675963,6.494420,6.975412,C
3.773285,5.070346,5.644213,C
8.578996,8.602674,9.994481,B
8.648530,9.012752,9.783381,B
8.114953,9.835841,7.261309,B
5.677732,8.202731,6.943686,A
6.405104,7.392399,8.900273,E
7.727658,7.898520,9.367219,D
5.743819,6.002532,9.973672,E
8.564197,7.884565,8.246959,B
6.798961,7.947981,9.015971,D
4.812283,7.092104,7.904196,C
5.951907,6.955702,7.694300,A
4.305033,6.565373,7.568280,C
